key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
cpl0001,,runs,17,,,,,Barbados Tridents
cpl0002,,runs,19,,,,,Guyana Amazon Warriors
cpl0003,,runs,12,,,,,Barbados Tridents
cpl0004,,wickets,8,,,,,Guyana Amazon Warriors
cpl0005,,wickets,4,,,,,Barbados Tridents
cpl0006,,wickets,5,,,,,St Lucia Zouks
cpl0007,,wickets,7,,,,,Jamaica Tallawahs
cpl0008,,runs,33,,,,,Antigua Hawksbills
cpl0009,,runs,5,,,,,Jamaica Tallawahs
cpl0010,,runs,3,,,,,Trinidad & Tobago Red Steel
cpl0011,,wickets,6,,,,,Jamaica Tallawahs
cpl0012,,runs,1,,,D/L,,Trinidad & Tobago Red Steel
cpl0013,,runs,27,,,,,Guyana Amazon Warriors
cpl0014,,wickets,5,,,,,Antigua Hawksbills
cpl0015,,runs,17,,,D/L,,St Lucia Zouks
cpl0016,,runs,5,,,,,Guyana Amazon Warriors
cpl0017,,wickets,6,,,,,Trinidad & Tobago Red Steel
cpl0018,,wickets,5,,,,,Guyana Amazon Warriors
cpl0019,,wickets,6,,,,,Jamaica Tallawahs
cpl0020,,wickets,3,,,,,Jamaica Tallawahs
cpl0021,,wickets,7,,,,,Guyana Amazon Warriors
cpl0022,,wickets,7,,,,,Jamaica Tallawahs
cpl0023,,wickets,7,,,,,Jamaica Tallawahs
cpl0024,,wickets,2,,,,,Guyana Amazon Warriors
cpl0025,,wickets,7,,,,,Trinidad & Tobago Red Steel
cpl0026,,wickets,8,,,,,Jamaica Tallawahs
cpl0027,,wickets,9,,,,,Guyana Amazon Warriors
cpl0028,,wickets,5,,,,,Barbados Tridents
cpl0029,,runs,4,,,,,Jamaica Tallawahs
cpl0030,,wickets,9,,,,,Trinidad & Tobago Red Steel
cpl0031,,runs,29,,,,,Barbados Tridents
cpl0032,,wickets,4,,,,,Trinidad & Tobago Red Steel
cpl0033,,runs,7,,,,,Guyana Amazon Warriors
cpl0034,,runs,13,,,,,Trinidad & Tobago Red Steel
cpl0035,,wickets,9,,,,,Trinidad & Tobago Red Steel
cpl0036,,wickets,3,,,,,Barbados Tridents
cpl0037,,wickets,7,,,D/L,,Jamaica Tallawahs
cpl0038,,wickets,8,,,,,Trinidad & Tobago Red Steel
cpl0039,,wickets,6,,,,,Jamaica Tallawahs
cpl0040,,wickets,5,,,D/L,,St Lucia Zouks
cpl0041,,runs,19,,,,,Jamaica Tallawahs
cpl0042,,runs,69,,,,,Barbados Tridents
cpl0043,,runs,19,,,,,Guyana Amazon Warriors
cpl0044,,wickets,5,,,,,Antigua Hawksbills
cpl0045,,wickets,7,,,,,St Lucia Zouks
cpl0046,,runs,88,,,,,Barbados Tridents
cpl0047,,wickets,8,,,,,Guyana Amazon Warriors
cpl0048,,wickets,4,,,,,Jamaica Tallawahs
cpl0049,,wickets,10,,,,,Guyana Amazon Warriors
cpl0050,,runs,8,,,D/L,,Barbados Tridents
cpl0051,,runs,49,,,,,Barbados Tridents
cpl0052,,,,,,,no result,
cpl0053,,runs,16,,,,,Barbados Tridents
cpl0054,,wickets,7,,,,,St Lucia Zouks
cpl0055,,wickets,8,,,,,Barbados Tridents
cpl0056,,runs,2,,,D/L,,St Lucia Zouks
cpl0057,,runs,1,,,,,St Kitts and Nevis Patriots
cpl0058,,wickets,10,,,,,Jamaica Tallawahs
cpl0059,,wickets,7,,,,,Jamaica Tallawahs
cpl0060,,runs,15,,,,,Barbados Tridents
cpl0061,,runs,30,,,,,St Lucia Zouks
cpl0062,,wickets,7,,,,,Guyana Amazon Warriors
cpl0063,,wickets,3,,,,,Trinidad & Tobago Red Steel
cpl0064,,runs,119,,,,,St Kitts and Nevis Patriots
cpl0065,,wickets,8,,,,,St Kitts and Nevis Patriots
cpl0066,,wickets,9,,,,,Jamaica Tallawahs
cpl0067,,runs,23,,,D/L,,Guyana Amazon Warriors
cpl0068,,runs,50,,,,,Jamaica Tallawahs
cpl0069,,runs,26,,,,,St Kitts and Nevis Patriots
cpl0070,,runs,17,,,,,Barbados Tridents
cpl0071,,wickets,6,,,,,Trinidad & Tobago Red Steel
cpl0072,,runs,84,,,,,Guyana Amazon Warriors
cpl0073,,wickets,4,,,,,St Lucia Zouks
cpl0074,,runs,72,,,,,Trinidad & Tobago Red Steel
cpl0075,,wickets,3,,,,,Guyana Amazon Warriors
cpl0076,,runs,14,,,,,Barbados Tridents
cpl0077,,runs,18,,,D/L,,Trinidad & Tobago Red Steel
