team,name,key,batting_position
Dubai Capitals,RV Uthappa,ilt00001,1.0
Dubai Capitals,JE Root,ilt00001,2.0
Dubai Capitals,PBB Rajapaksa,ilt00001,3.0
Dubai Capitals,R Powell,ilt00001,4.0
Dubai Capitals,Sikandar Raza,ilt00001,5.0
Dubai Capitals,YK Pathan,ilt00001,6.0
Dubai Capitals,RS Bopara,ilt00001,7.0
Dubai Capitals,I Udana,ilt00001,8.0
Dubai Capitals,Mujeeb Ur Rahman,ilt00001,
Dubai Capitals,Hazrat Luqman,ilt00001,
Dubai Capitals,Akif Raja,ilt00001,
Abu Dhabi Knight Riders,CA Ingram,ilt00001,1.0
Abu Dhabi Knight Riders,PR Stirling,ilt00001,2.0
Abu Dhabi Knight Riders,BA King,ilt00001,3.0
Abu Dhabi Knight Riders,Zawar Farid,ilt00001,4.0
Abu Dhabi Knight Riders,SP Narine,ilt00001,5.0
Abu Dhabi Knight Riders,AD Russell,ilt00001,6.0
Abu Dhabi Knight Riders,C Esterhuizen,ilt00001,7.0
Abu Dhabi Knight Riders,AJ Hosein,ilt00001,8.0
Abu Dhabi Knight Riders,Fahad Nawaz,ilt00001,9.0
Abu Dhabi Knight Riders,R Rampaul,ilt00001,10.0
Abu Dhabi Knight Riders,Ali Khan,ilt00001,11.0
MI Emirates,WCF Smeed,ilt00002,1.0
MI Emirates,Waseem Muhammad,ilt00002,2.0
MI Emirates,ADS Fletcher,ilt00002,3.0
MI Emirates,N Pooran,ilt00002,4.0
MI Emirates,KA Pollard,ilt00002,5.0
MI Emirates,Najibullah Zadran,ilt00002,6.0
MI Emirates,DJ Bravo,ilt00002,7.0
MI Emirates,TA Boult,ilt00002,
MI Emirates,Imran Tahir,ilt00002,
MI Emirates,Fazalhaq Farooqi,ilt00002,
MI Emirates,Zahoor Khan,ilt00002,
Sharjah Warriors,Rahmanullah Gurbaz,ilt00002,1.0
Sharjah Warriors,E Lewis,ilt00002,2.0
Sharjah Warriors,DJ Malan,ilt00002,3.0
Sharjah Warriors,MM Ali,ilt00002,4.0
Sharjah Warriors,T Kohler-Cadmore,ilt00002,5.0
Sharjah Warriors,JL Denly,ilt00002,6.0
Sharjah Warriors,Mohammad Nabi,ilt00002,7.0
Sharjah Warriors,CR Woakes,ilt00002,8.0
Sharjah Warriors,Junaid Siddique,ilt00002,9.0
Sharjah Warriors,Naveen-ul-Haq,ilt00002,10.0
Sharjah Warriors,KP Meiyappan,ilt00002,
Sharjah Warriors,Rahmanullah Gurbaz,ilt00003,1.0
Sharjah Warriors,E Lewis,ilt00003,2.0
Sharjah Warriors,DJ Malan,ilt00003,3.0
Sharjah Warriors,T Kohler-Cadmore,ilt00003,4.0
Sharjah Warriors,MM Ali,ilt00003,5.0
Sharjah Warriors,JL Denly,ilt00003,6.0
Sharjah Warriors,Mohammad Nabi,ilt00003,7.0
Sharjah Warriors,CR Woakes,ilt00003,
Sharjah Warriors,Junaid Siddique,ilt00003,
Sharjah Warriors,Naveen-ul-Haq,ilt00003,
Sharjah Warriors,KP Meiyappan,ilt00003,
Desert Vipers,Rohan Mustafa,ilt00003,1.0
Desert Vipers,AD Hales,ilt00003,2.0
Desert Vipers,C Munro,ilt00003,3.0
Desert Vipers,SW Billings,ilt00003,4.0
Desert Vipers,SE Rutherford,ilt00003,5.0
Desert Vipers,BAC Howell,ilt00003,
Desert Vipers,TK Curran,ilt00003,
Desert Vipers,SS Cottrell,ilt00003,
Desert Vipers,TS Mills,ilt00003,
Desert Vipers,Ali Naseer,ilt00003,
Desert Vipers,AAP Atkinson,ilt00003,
Abu Dhabi Knight Riders,PR Stirling,ilt00004,1.0
Abu Dhabi Knight Riders,CA Ingram,ilt00004,2.0
Abu Dhabi Knight Riders,BA King,ilt00004,3.0
Abu Dhabi Knight Riders,C Esterhuizen,ilt00004,4.0
Abu Dhabi Knight Riders,AJ Hosein,ilt00004,5.0
Abu Dhabi Knight Riders,AD Russell,ilt00004,6.0
Abu Dhabi Knight Riders,SP Narine,ilt00004,7.0
Abu Dhabi Knight Riders,Zawar Farid,ilt00004,8.0
Abu Dhabi Knight Riders,Ali Khan,ilt00004,9.0
Abu Dhabi Knight Riders,R Rampaul,ilt00004,10.0
Abu Dhabi Knight Riders,Matiullah Khan,ilt00004,11.0
Gulf Giants,JM Vince,ilt00004,1.0
Gulf Giants,Rehan Ahmed,ilt00004,2.0
Gulf Giants,OJ Pope,ilt00004,3.0
Gulf Giants,MG Erasmus,ilt00004,4.0
Gulf Giants,SO Hetmyer,ilt00004,5.0
Gulf Giants,D Wiese,ilt00004,6.0
Gulf Giants,CJ Jordan,ilt00004,
Gulf Giants,LA Dawson,ilt00004,
Gulf Giants,Aayan Afzal Khan,ilt00004,
Gulf Giants,SM Sharma,ilt00004,
Gulf Giants,RJ Gleeson,ilt00004,
Dubai Capitals,RV Uthappa,ilt00005,1.0
Dubai Capitals,JE Root,ilt00005,2.0
Dubai Capitals,R Powell,ilt00005,3.0
Dubai Capitals,Sikandar Raza,ilt00005,4.0
Dubai Capitals,PBB Rajapaksa,ilt00005,5.0
Dubai Capitals,MD Shanaka,ilt00005,6.0
Dubai Capitals,RS Bopara,ilt00005,7.0
Dubai Capitals,I Udana,ilt00005,8.0
Dubai Capitals,Hazrat Luqman,ilt00005,9.0
Dubai Capitals,Mujeeb Ur Rahman,ilt00005,
Dubai Capitals,Akif Raja,ilt00005,
Gulf Giants,JM Vince,ilt00005,1.0
Gulf Giants,Rehan Ahmed,ilt00005,2.0
Gulf Giants,OJ Pope,ilt00005,3.0
Gulf Giants,MG Erasmus,ilt00005,4.0
Gulf Giants,SO Hetmyer,ilt00005,5.0
Gulf Giants,D Wiese,ilt00005,6.0
Gulf Giants,Aayan Afzal Khan,ilt00005,
Gulf Giants,LA Dawson,ilt00005,
Gulf Giants,CJ Jordan,ilt00005,
Gulf Giants,SM Sharma,ilt00005,
Gulf Giants,RJ Gleeson,ilt00005,
Sharjah Warriors,Rahmanullah Gurbaz,ilt00006,1.0
Sharjah Warriors,T Kohler-Cadmore,ilt00006,2.0
Sharjah Warriors,DJ Malan,ilt00006,3.0
