key,by_innings,by_type,by_margin,bowl_out,eliminator,method,result,winner
lpl0001,,,,,Colombo Kings,,tie,
lpl0002,,wickets,8.0,,,,,Jaffna Stallions
lpl0003,,runs,34.0,,,,,Colombo Kings
lpl0004,,runs,4.0,,,D/L,,Dambulla Viiking
lpl0005,,runs,25.0,,,,,Kandy Tuskers
lpl0006,,runs,66.0,,,,,Jaffna Stallions
lpl0007,,runs,54.0,,,,,Jaffna Stallions
lpl0008,,runs,28.0,,,,,Dambulla Viiking
lpl0009,,wickets,5.0,,,,,Dambulla Viiking
lpl0010,,wickets,5.0,,,,,Jaffna Stallions
lpl0011,,wickets,6.0,,,,,Colombo Kings
lpl0012,,wickets,7.0,,,,,Colombo Kings
lpl0013,,runs,9.0,,,,,Dambulla Viiking
lpl0014,,,,,,,no result,
lpl0015,,wickets,8.0,,,,,Galle Gladiators
lpl0016,,wickets,4.0,,,,,Dambulla Viiking
lpl0017,,wickets,6.0,,,,,Kandy Tuskers
lpl0018,,wickets,9.0,,,,,Galle Gladiators
lpl0019,,runs,6.0,,,,,Colombo Kings
lpl0020,,wickets,6.0,,,,,Colombo Kings
lpl0021,,wickets,2.0,,,,,Galle Gladiators
lpl0022,,runs,37.0,,,,,Jaffna Stallions
lpl0023,,runs,53.0,,,,,Jaffna Stallions
lpl0024,,runs,54.0,,,,,Galle Gladiators
lpl0025,,wickets,4.0,,,,,Colombo Stars
lpl0026,,runs,20.0,,,,,Dambulla Giants
lpl0027,,wickets,4.0,,,,,Galle Gladiators
lpl0028,,wickets,8.0,,,,,Jaffna Kings
lpl0029,,runs,14.0,,,D/L,,Jaffna Kings
lpl0030,,runs,18.0,,,,,Dambulla Giants
lpl0031,,runs,93.0,,,,,Jaffna Kings
lpl0032,,,,,,,no result,
lpl0033,,runs,1.0,,,,,Dambulla Giants
lpl0034,,wickets,5.0,,,,,Kandy Warriors
lpl0035,,runs,41.0,,,,,Colombo Stars
lpl0036,,wickets,7.0,,,D/L,,Jaffna Kings
lpl0037,,wickets,7.0,,,,,Jaffna Kings
lpl0038,,runs,9.0,,,,,Galle Gladiators
lpl0039,,wickets,5.0,,,,,Colombo Stars
lpl0040,,wickets,6.0,,,,,Kandy Warriors
lpl0041,,runs,102.0,,,,,Jaffna Kings
lpl0042,,runs,58.0,,,,,Colombo Stars
lpl0043,,runs,20.0,,,,,Galle Gladiators
lpl0044,,runs,64.0,,,,,Galle Gladiators
lpl0045,,wickets,6.0,,,,,Dambulla Giants
lpl0046,,runs,23.0,,,,,Jaffna Kings
lpl0047,,runs,23.0,,,,,Jaffna Kings
lpl0048,,runs,109.0,,,,,Kandy Falcons
lpl0049,,runs,24.0,,,,,Jaffna Kings
lpl0050,,wickets,5.0,,,,,Kandy Falcons
lpl0051,,wickets,9.0,,,,,Jaffna Kings
lpl0052,,runs,9.0,,,,,Colombo Stars
lpl0053,,wickets,3.0,,,,,Kandy Falcons
lpl0054,,runs,51.0,,,,,Jaffna Kings
lpl0055,,runs,25.0,,,,,Galle Gladiators
lpl0056,,runs,6.0,,,,,Jaffna Kings
lpl0057,,runs,12.0,,,,,Galle Gladiators
