key,team
lpl0001,Kandy Tuskers
lpl0001,Colombo Kings
lpl0002,Galle Gladiators
lpl0002,Jaffna Stallions
lpl0003,Colombo Kings
lpl0003,Galle Gladiators
lpl0004,Dambulla Viiking
lpl0004,Kandy Tuskers
lpl0005,Kandy Tuskers
lpl0005,Galle Gladiators
lpl0006,Jaffna Stallions
lpl0006,Dambulla Viiking
lpl0007,Jaffna Stallions
lpl0007,Kandy Tuskers
lpl0008,Dambulla Viiking
lpl0008,Colombo Kings
lpl0009,Kandy Tuskers
lpl0009,Dambulla Viiking
lpl0010,Galle Gladiators
lpl0010,Jaffna Stallions
lpl0011,Jaffna Stallions
lpl0011,Colombo Kings
lpl0012,Kandy Tuskers
lpl0012,Colombo Kings
lpl0013,Dambulla Viiking
lpl0013,Galle Gladiators
lpl0014,Dambulla Viiking
lpl0014,Jaffna Stallions
lpl0015,Colombo Kings
lpl0015,Galle Gladiators
lpl0016,Galle Gladiators
lpl0016,Dambulla Viiking
lpl0017,Jaffna Stallions
lpl0017,Kandy Tuskers
lpl0018,Kandy Tuskers
lpl0018,Galle Gladiators
lpl0019,Colombo Kings
lpl0019,Jaffna Stallions
lpl0020,Dambulla Viiking
lpl0020,Colombo Kings
lpl0021,Colombo Kings
lpl0021,Galle Gladiators
lpl0022,Jaffna Stallions
lpl0022,Dambulla Viiking
lpl0023,Jaffna Stallions
lpl0023,Galle Gladiators
lpl0024,Galle Gladiators
lpl0024,Jaffna Kings
lpl0025,Galle Gladiators
lpl0025,Colombo Stars
lpl0026,Dambulla Giants
lpl0026,Kandy Warriors
lpl0027,Kandy Warriors
lpl0027,Galle Gladiators
lpl0028,Dambulla Giants
lpl0028,Jaffna Kings
lpl0029,Jaffna Kings
lpl0029,Kandy Warriors
lpl0030,Dambulla Giants
lpl0030,Colombo Stars
lpl0031,Jaffna Kings
lpl0031,Colombo Stars
lpl0032,Dambulla Giants
lpl0032,Galle Gladiators
lpl0033,Dambulla Giants
lpl0033,Colombo Stars
lpl0034,Galle Gladiators
lpl0034,Kandy Warriors
lpl0035,Colombo Stars
lpl0035,Galle Gladiators
lpl0036,Kandy Warriors
lpl0036,Jaffna Kings
lpl0037,Dambulla Giants
lpl0037,Jaffna Kings
lpl0038,Galle Gladiators
lpl0038,Dambulla Giants
lpl0039,Kandy Warriors
lpl0039,Colombo Stars
lpl0040,Dambulla Giants
lpl0040,Kandy Warriors
lpl0041,Jaffna Kings
lpl0041,Colombo Stars
lpl0042,Colombo Stars
lpl0042,Kandy Warriors
lpl0043,Galle Gladiators
lpl0043,Jaffna Kings
lpl0044,Galle Gladiators
lpl0044,Jaffna Kings
lpl0045,Colombo Stars
lpl0045,Dambulla Giants
lpl0046,Jaffna Kings
lpl0046,Dambulla Giants
lpl0047,Jaffna Kings
lpl0047,Galle Gladiators
lpl0048,Kandy Falcons
lpl0048,Colombo Stars
lpl0049,Jaffna Kings
lpl0049,Galle Gladiators
lpl0050,Galle Gladiators
lpl0050,Kandy Falcons
lpl0051,Dambulla Aura
lpl0051,Jaffna Kings
lpl0052,Colombo Stars
lpl0052,Dambulla Aura
lpl0053,Jaffna Kings
lpl0053,Kandy Falcons
lpl0054,Jaffna Kings
lpl0054,Dambulla Aura
lpl0055,Galle Gladiators
lpl0055,Colombo Stars
lpl0056,Jaffna Kings
lpl0056,Colombo Stars
lpl0057,Galle Gladiators
lpl0057,Kandy Falcons
