key,player_of_match
lpl0001,LD Chandimal
lpl0002,WIA Fernando
lpl0003,AD Russell
lpl0004,MD Shanaka
lpl0005,BRM Taylor
lpl0006,NLTC Perera
lpl0007,NLTC Perera
lpl0008,MD Shanaka
lpl0009,AK Perera
lpl0010,WIA Fernando
lpl0011,LD Chandimal
lpl0012,PVD Chameera
lpl0013,Anwar Ali
lpl0015,Mohammad Amir
lpl0016,Samiullah Shenwari
lpl0017,DAS Gunaratne
lpl0018,MD Gunathilaka
lpl0019,LJ Evans
lpl0020,Qais Ahmad
lpl0021,D Lakshan
lpl0022,J Charles
lpl0023,Shoaib Malik
lpl0024,SR Patel
lpl0025,DM de Silva
lpl0026,PD Salt
lpl0027,D Lakshan
lpl0028,M Theekshana
lpl0029,RAS Lakmal
lpl0030,PD Salt
lpl0031,NLTC Perera
lpl0033,KTH Ratnayake
lpl0034,RS Bopara
lpl0035,LD Chandimal
lpl0036,Shoaib Malik
lpl0037,PC de Silva
lpl0038,SR Patel
lpl0039,S Prasanna
lpl0040,RS Bopara
lpl0041,T Kohler-Cadmore
lpl0042,JDF Vandersay
lpl0043,PBB Rajapaksa
lpl0044,BKG Mendis
lpl0045,J Liyanage
lpl0046,WIA Fernando
lpl0047,WIA Fernando
lpl0048,ADS Fletcher
lpl0049,DN Wellalage
lpl0050,CR Brathwaite
lpl0051,S Samarawickrama
lpl0052,N Dickwella
lpl0053,C Karunaratne
lpl0054,Rahmanullah Gurbaz
lpl0055,LU Igalagamage
lpl0056,JK Fuller
lpl0057,PTM Dabare
lpl0058,RS Bopara
lpl0059,PHKD Mendis
lpl0060,CAK Rajitha
lpl0061,FA Allen
lpl0062,C Karunaratne
lpl0063,JM Cox
lpl0064,O Thomas
lpl0065,Afif Hossain
lpl0066,MW Forde
lpl0067,Rahmanullah Gurbaz
lpl0068,RS Bopara
lpl0069,V Viyaskanth
lpl0070,CAK Rajitha
lpl0071,WIA Fernando
lpl0072,V Viyaskanth
lpl0073,Babar Azam
lpl0074,MD Shanaka
