decision,winner,key,uncontested
bat,Australia,t20s00001,
bat,England,t20s00002,
field,New Zealand,t20s00003,
bat,Australia,t20s00004,
field,New Zealand,t20s00005,
bat,South Africa,t20s00006,
bat,Sri Lanka,t20s00007,
bat,England,t20s00008,
bat,South Africa,t20s00009,
bat,New Zealand,t20s00010,
field,New Zealand,t20s00011,
bat,Australia,t20s00012,
bat,West Indies,t20s00013,
bat,West Indies,t20s00014,
field,Bangladesh,t20s00015,
field,Bangladesh,t20s00016,
bat,Kenya,t20s00017,
field,South Africa,t20s00018,
field,New Zealand,t20s00019,
field,Scotland,t20s00020,
bat,Australia,t20s00021,
field,Bangladesh,t20s00022,
bat,England,t20s00023,
field,Pakistan,t20s00024,
field,Kenya,t20s00025,
bat,England,t20s00026,
field,South Africa,t20s00027,
bat,New Zealand,t20s00028,
field,India,t20s00029,
field,Australia,t20s00030,
field,England,t20s00031,
field,Sri Lanka,t20s00032,
field,England,t20s00033,
field,Pakistan,t20s00034,
field,Bangladesh,t20s00035,
bat,India,t20s00036,
field,South Africa,t20s00037,
bat,India,t20s00038,
field,Australia,t20s00039,
field,Pakistan,t20s00040,
bat,New Zealand,t20s00041,
bat,India,t20s00042,
bat,India,t20s00043,
bat,Australia,t20s00044,
field,South Africa,t20s00045,
bat,Australia,t20s00046,
field,West Indies,t20s00047,
field,South Africa,t20s00048,
bat,India,t20s00049,
field,New Zealand,t20s00050,
bat,England,t20s00051,
bat,Pakistan,t20s00052,
field,England,t20s00053,
field,West Indies,t20s00054,
field,Scotland,t20s00055,
field,Ireland,t20s00056,
field,Netherlands,t20s00057,
field,Pakistan,t20s00058,
field,Sri Lanka,t20s00059,
field,Bangladesh,t20s00060,
bat,New Zealand,t20s00061,
bat,New Zealand,t20s00062,
bat,Australia,t20s00063,
bat,South Africa,t20s00064,
bat,Sri Lanka,t20s00065,
bat,Australia,t20s00066,
field,New Zealand,t20s00067,
field,New Zealand,t20s00068,
field,West Indies,t20s00069,
field,South Africa,t20s00070,
field,Australia,t20s00071,
field,Pakistan,t20s00072,
field,Netherlands,t20s00073,
field,New Zealand,t20s00074,
bat,Australia,t20s00075,
bat,India,t20s00076,
field,Scotland,t20s00077,
field,Pakistan,t20s00078,
field,Ireland,t20s00079,
field,Sri Lanka,t20s00080,
bat,Pakistan,t20s00081,
field,New Zealand,t20s00082,
field,West Indies,t20s00083,
field,India,t20s00084,
bat,England,t20s00085,
field,Ireland,t20s00086,
bat,Sri Lanka,t20s00087,
bat,India,t20s00088,
field,West Indies,t20s00089,
bat,New Zealand,t20s00090,
bat,Sri Lanka,t20s00091,
field,India,t20s00092,
bat,England,t20s00093,
bat,Pakistan,t20s00094,
bat,Sri Lanka,t20s00095,
bat,South Africa,t20s00096,
bat,Pakistan,t20s00097,
bat,New Zealand,t20s00098,
field,England,t20s00099,
field,West Indies,t20s00100,
bat,Sri Lanka,t20s00101,
bat,Australia,t20s00102,
bat,Bangladesh,t20s00103,
bat,Pakistan,t20s00104,
field,England,t20s00105,
bat,New Zealand,t20s00106,
bat,New Zealand,t20s00107,
field,South Africa,t20s00108,
field,New Zealand,t20s00109,
field,South Africa,t20s00110,
bat,Pakistan,t20s00111,
bat,South Africa,t20s00112,
field,India,t20s00113,
bat,Sri Lanka,t20s00114,
bat,Bangladesh,t20s00115,
bat,Australia,t20s00116,
bat,Canada,t20s00117,
field,Kenya,t20s00118,
bat,Ireland,t20s00119,
bat,Ireland,t20s00120,
bat,Pakistan,t20s00121,
field,Pakistan,t20s00122,
bat,Australia,t20s00123,
bat,West Indies,t20s00124,
bat,New Zealand,t20s00125,
bat,Zimbabwe,t20s00126,
bat,New Zealand,t20s00127,
bat,West Indies,t20s00128,
bat,Sri Lanka,t20s00129,
bat,Pakistan,t20s00130,
bat,Australia,t20s00131,
field,South Africa,t20s00132,
bat,Sri Lanka,t20s00133,
field,West Indies,t20s00134,
field,Ireland,t20s00135,
field,New Zealand,t20s00136,
bat,Australia,t20s00137,
field,England,t20s00138,
bat,South Africa,t20s00139,
field,India,t20s00140,
bat,Sri Lanka,t20s00141,
field,Pakistan,t20s00142,
bat,England,t20s00143,
bat,Australia,t20s00144,
field,India,t20s00145,
bat,New Zealand,t20s00146,
bat,Pakistan,t20s00147,
bat,India,t20s00148,
bat,West Indies,t20s00149,
bat,India,t20s00150,
bat,Sri Lanka,t20s00151,
field,West Indies,t20s00152,
field,Australia,t20s00153,
bat,Australia,t20s00154,
field,England,t20s00155,
field,West Indies,t20s00156,
field,West Indies,t20s00157,
bat,New Zealand,t20s00158,
bat,New Zealand,t20s00159,
field,India,t20s00160,
field,India,t20s00161,
bat,Pakistan,t20s00162,
bat,Pakistan,t20s00163,
field,England,t20s00164,
bat,Pakistan,t20s00165,
bat,Zimbabwe,t20s00166,
bat,South Africa,t20s00167,
bat,Pakistan,t20s00168,
bat,Pakistan,t20s00169,
bat,Australia,t20s00170,
field,New Zealand,t20s00171,
field,Pakistan,t20s00172,
bat,Pakistan,t20s00173,
bat,New Zealand,t20s00174,
bat,India,t20s00175,
bat,Australia,t20s00176,
bat,Australia,t20s00177,
bat,West Indies,t20s00178,
field,West Indies,t20s00179,
field,Sri Lanka,t20s00180,
bat,England,t20s00181,
field,Australia,t20s00182,
bat,Sri Lanka,t20s00183,
bat,India,t20s00184,
field,Zimbabwe,t20s00185,
bat,Pakistan,t20s00186,
field,England,t20s00187,
field,England,t20s00188,
field,Bangladesh,t20s00189,
bat,South Africa,t20s00190,
field,New Zealand,t20s00191,
bat,Australia,t20s00192,
field,Zimbabwe,t20s00193,
bat,South Africa,t20s00194,
bat,India,t20s00195,
bat,Sri Lanka,t20s00196,
bat,Pakistan,t20s00197,
field,India,t20s00198,
bat,Australia,t20s00199,
bat,Zimbabwe,t20s00200,
bat,Zimbabwe,t20s00201,
field,New Zealand,t20s00202,
field,England,t20s00203,
field,South Africa,t20s00204,
field,New Zealand,t20s00205,
field,New Zealand,t20s00206,
field,New Zealand,t20s00207,
field,Ireland,t20s00208,
field,England,t20s00209,
bat,Kenya,t20s00210,
bat,Ireland,t20s00211,
bat,England,t20s00212,
bat,England,t20s00213,
bat,Netherlands,t20s00214,
bat,Kenya,t20s00215,
bat,Ireland,t20s00216,
bat,Canada,t20s00217,
field,Ireland,t20s00218,
bat,Canada,t20s00219,
bat,West Indies,t20s00220,
bat,West Indies,t20s00221,
field,India,t20s00222,
bat,Sri Lanka,t20s00223,
bat,Pakistan,t20s00224,
bat,West Indies,t20s00225,
field,India,t20s00226,
bat,India,t20s00227,
field,New Zealand,t20s00228,
bat,West Indies,t20s00229,
field,Ireland,t20s00230,
bat,Netherlands,t20s00231,
bat,Bangladesh,t20s00232,
field,Sri Lanka,t20s00233,
bat,Pakistan,t20s00234,
bat,England,t20s00235,
field,Pakistan,t20s00236,
bat,Pakistan,t20s00237,
bat,West Indies,t20s00238,
field,South Africa,t20s00239,
field,West Indies,t20s00240,
field,England,t20s00241,
field,Pakistan,t20s00242,
field,India,t20s00243,
field,South Africa,t20s00244,
bat,England,t20s00245,
bat,England,t20s00246,
field,West Indies,t20s00247,
field,Zimbabwe,t20s00248,
bat,Ireland,t20s00249,
field,South Africa,t20s00250,
field,Bangladesh,t20s00251,
bat,West Indies,t20s00252,
field,Sri Lanka,t20s00253,
bat,Pakistan,t20s00254,
field,England,t20s00255,
field,West Indies,t20s00256,
bat,Bangladesh,t20s00257,
field,South Africa,t20s00258,
field,West Indies,t20s00259,
field,Pakistan,t20s00260,
bat,India,t20s00261,
bat,New Zealand,t20s00262,
bat,West Indies,t20s00263,
bat,India,t20s00264,
field,West Indies,t20s00265,
field,South Africa,t20s00266,
bat,South Africa,t20s00267,
bat,Australia,t20s00268,
bat,India,t20s00269,
bat,New Zealand,t20s00270,
bat,West Indies,t20s00271,
field,West Indies,t20s00272,
bat,Sri Lanka,t20s00273,
field,Australia,t20s00274,
bat,Pakistan,t20s00275,
field,New Zealand,t20s00276,
field,England,t20s00277,
bat,Pakistan,t20s00278,
bat,Australia,t20s00279,
field,Australia,t20s00280,
field,South Africa,t20s00281,
bat,Sri Lanka,t20s00282,
field,England,t20s00283,
bat,Sri Lanka,t20s00284,
bat,Australia,t20s00285,
bat,West Indies,t20s00286,
field,England,t20s00287,
bat,West Indies,t20s00288,
field,Sri Lanka,t20s00289,
bat,Pakistan,t20s00290,
field,Pakistan,t20s00291,
