team_1,team_2,key
Barisal Burners,Duronto Rajshahi,bpl00001
Khulna Royal Bengals,Chittagong Kings,bpl00002
Duronto Rajshahi,Sylhet Royals,bpl00003
Dhaka Gladiators,Barisal Burners,bpl00004
Barisal Burners,Chittagong Kings,bpl00005
Khulna Royal Bengals,Sylhet Royals,bpl00006
Duronto Rajshahi,Chittagong Kings,bpl00007
Dhaka Gladiators,Khulna Royal Bengals,bpl00008
Sylhet Royals,Barisal Burners,bpl00009
Barisal Burners,Duronto Rajshahi,bpl00010
Khulna Royal Bengals,Barisal Burners,bpl00011
Chittagong Kings,Dhaka Gladiators,bpl00012
Duronto Rajshahi,Sylhet Royals,bpl00013
Sylhet Royals,Chittagong Kings,bpl00014
Khulna Royal Bengals,Duronto Rajshahi,bpl00015
Dhaka Gladiators,Duronto Rajshahi,bpl00016
Barisal Burners,Dhaka Gladiators,bpl00017
Dhaka Gladiators,Khulna Royal Bengals,bpl00018
Sylhet Royals,Barisal Burners,bpl00019
Duronto Rajshahi,Chittagong Kings,bpl00020
Khulna Royal Bengals,Barisal Burners,bpl00021
Duronto Rajshahi,Sylhet Royals,bpl00022
Dhaka Gladiators,Duronto Rajshahi,bpl00023
Rangpur Riders,Barisal Burners,bpl00024
Khulna Royal Bengals,Sylhet Royals,bpl00025
Chittagong Kings,Barisal Burners,bpl00026
Khulna Royal Bengals,Duronto Rajshahi,bpl00027
Khulna Royal Bengals,Rangpur Riders,bpl00028
Dhaka Gladiators,Sylhet Royals,bpl00029
Duronto Rajshahi,Barisal Burners,bpl00030
Rangpur Riders,Khulna Royal Bengals,bpl00031
Rangpur Riders,Sylhet Royals,bpl00032
Barisal Burners,Chittagong Kings,bpl00033
Dhaka Gladiators,Duronto Rajshahi,bpl00034
Barisal Burners,Duronto Rajshahi,bpl00035
Chittagong Kings,Dhaka Gladiators,bpl00036
Rangpur Riders,Duronto Rajshahi,bpl00037
Khulna Royal Bengals,Barisal Burners,bpl00038
Dhaka Gladiators,Rangpur Riders,bpl00039
Chittagong Kings,Khulna Royal Bengals,bpl00040
Rangpur Riders,Sylhet Royals,bpl00041
Duronto Rajshahi,Khulna Royal Bengals,bpl00042
Barisal Burners,Dhaka Gladiators,bpl00043
Chittagong Kings,Rangpur Riders,bpl00044
Khulna Royal Bengals,Dhaka Gladiators,bpl00045
Rangpur Riders,Duronto Rajshahi,bpl00046
Sylhet Royals,Khulna Royal Bengals,bpl00047
Dhaka Gladiators,Barisal Burners,bpl00048
Chittagong Kings,Duronto Rajshahi,bpl00049
Barisal Burners,Sylhet Royals,bpl00050
Barisal Burners,Rangpur Riders,bpl00051
Dhaka Gladiators,Chittagong Kings,bpl00052
Dhaka Gladiators,Sylhet Royals,bpl00053
Sylhet Royals,Chittagong Kings,bpl00054
Dhaka Gladiators,Chittagong Kings,bpl00055
Comilla Victorians,Dhaka Dynamites,bpl00056
Barisal Bulls,Rangpur Riders,bpl00057
Chittagong Vikings,Comilla Victorians,bpl00058
Barisal Bulls,Sylhet Super Stars,bpl00059
Barisal Bulls,Comilla Victorians,bpl00060
Rangpur Riders,Dhaka Dynamites,bpl00061
Rangpur Riders,Sylhet Super Stars,bpl00062
Chittagong Vikings,Dhaka Dynamites,bpl00063
Rangpur Riders,Comilla Victorians,bpl00064
Dhaka Dynamites,Sylhet Super Stars,bpl00065
Barisal Bulls,Chittagong Vikings,bpl00066
Comilla Victorians,Sylhet Super Stars,bpl00067
Chittagong Vikings,Rangpur Riders,bpl00068
Dhaka Dynamites,Barisal Bulls,bpl00069
Comilla Victorians,Dhaka Dynamites,bpl00070
Sylhet Super Stars,Chittagong Vikings,bpl00071
Rangpur Riders,Barisal Bulls,bpl00072
Barisal Bulls,Sylhet Super Stars,bpl00073
Dhaka Dynamites,Rangpur Riders,bpl00074
Barisal Bulls,Comilla Victorians,bpl00075
Sylhet Super Stars,Rangpur Riders,bpl00076
