decision,winner,key
bat,Barisal Burners,bpl00001
bat,Khulna Royal Bengals,bpl00002
field,Barisal Burners,bpl00003
bat,Duronto Rajshahi,bpl00004
field,Chittagong Kings,bpl00005
field,Sylhet Royals,bpl00006
bat,Duronto Rajshahi,bpl00007
bat,Dhaka Gladiators,bpl00008
bat,Sylhet Royals,bpl00009
bat,Barisal Burners,bpl00010
bat,Khulna Royal Bengals,bpl00011
field,Dhaka Gladiators,bpl00012
field,Sylhet Royals,bpl00013
field,Chittagong Kings,bpl00014
bat,Khulna Royal Bengals,bpl00015
bat,Dhaka Gladiators,bpl00016
field,Dhaka Gladiators,bpl00017
field,Barisal Burners,bpl00018
bat,Dhaka Gladiators,bpl00019
bat,Duronto Rajshahi,bpl00020
bat,Khulna Royal Bengals,bpl00021
bat,Duronto Rajshahi,bpl00022
bat,Dhaka Gladiators,bpl00023
bat,Rangpur Riders,bpl00024
bat,Khulna Royal Bengals,bpl00025
field,Barisal Burners,bpl00026
field,Duronto Rajshahi,bpl00027
bat,Dhaka Gladiators,bpl00028
bat,Khulna Royal Bengals,bpl00029
bat,Duronto Rajshahi,bpl00030
bat,Rangpur Riders,bpl00031
field,Sylhet Royals,bpl00032
bat,Barisal Burners,bpl00033
bat,Dhaka Gladiators,bpl00034
bat,Barisal Burners,bpl00035
field,Dhaka Gladiators,bpl00036
bat,Rangpur Riders,bpl00037
field,Barisal Burners,bpl00038
field,Rangpur Riders,bpl00039
field,Khulna Royal Bengals,bpl00040
field,Sylhet Royals,bpl00041
bat,Duronto Rajshahi,bpl00042
bat,Barisal Burners,bpl00043
field,Rangpur Riders,bpl00044
bat,Khulna Royal Bengals,bpl00045
field,Duronto Rajshahi,bpl00046
field,Khulna Royal Bengals,bpl00047
bat,Dhaka Gladiators,bpl00048
field,Duronto Rajshahi,bpl00049
field,Sylhet Royals,bpl00050
bat,Barisal Burners,bpl00051
field,Chittagong Kings,bpl00052
field,Sylhet Royals,bpl00053
field,Chittagong Kings,bpl00054
field,Chittagong Kings,bpl00055
bat,Comilla Victorians,bpl00056
field,Rangpur Riders,bpl00057
field,Comilla Victorians,bpl00058
bat,Barisal Bulls,bpl00059
bat,Rangpur Riders,bpl00060
bat,Barisal Bulls,bpl00061
bat,Rangpur Riders,bpl00062
bat,Chittagong Vikings,bpl00063
field,Comilla Victorians,bpl00064
bat,Dhaka Dynamites,bpl00065
field,Chittagong Vikings,bpl00066
field,Sylhet Super Stars,bpl00067
field,Barisal Bulls,bpl00068
bat,Chittagong Vikings,bpl00069
field,Dhaka Dynamites,bpl00070
field,Chittagong Vikings,bpl00071
field,Barisal Bulls,bpl00072
field,Sylhet Super Stars,bpl00073
bat,Dhaka Dynamites,bpl00074
field,Comilla Victorians,bpl00075
field,Rangpur Riders,bpl00076
field,Chittagong Vikings,bpl00077
field,Comilla Victorians,bpl00078
field,Barisal Bulls,bpl00079
field,Sylhet Super Stars,bpl00080
field,Sylhet Super Stars,bpl00081
field,Barisal Bulls,bpl00082
field,Rangpur Riders,bpl00083
field,Dhaka Dynamites,bpl00084
bat,Rangpur Riders,bpl00085
field,Comilla Victorians,bpl00086
field,Dhaka Dynamites,bpl00087
field,Comilla Victorians,bpl00088
bat,Khulna Titans,bpl00089
field,Rangpur Riders,bpl00090
field,Rangpur Riders,bpl00091
field,Rajshahi Kings,bpl00092
bat,Comilla Victorians,bpl00093
field,Chittagong Vikings,bpl00094
field,Rangpur Riders,bpl00095
field,Rajshahi Kings,bpl00096
field,Comilla Victorians,bpl00097
field,Barisal Bulls,bpl00098
field,Comilla Victorians,bpl00099
field,Chittagong Vikings,bpl00100
field,Barisal Bulls,bpl00101
field,Rajshahi Kings,bpl00102
field,Rangpur Riders,bpl00103
field,Rajshahi Kings,bpl00104
bat,Khulna Titans,bpl00105
field,Barisal Bulls,bpl00106
bat,Comilla Victorians,bpl00107
bat,Dhaka Dynamites,bpl00108
bat,Chittagong Vikings,bpl00109
bat,Khulna Titans,bpl00110
bat,Barisal Bulls,bpl00111
field,Rangpur Riders,bpl00112
bat,Dhaka Dynamites,bpl00113
bat,Rajshahi Kings,bpl00114
bat,Barisal Bulls,bpl00115
bat,Rangpur Riders,bpl00116
bat,Rajshahi Kings,bpl00117
bat,Barisal Bulls,bpl00118
bat,Khulna Titans,bpl00119
bat,Dhaka Dynamites,bpl00120
bat,Rajshahi Kings,bpl00121
field,Rajshahi Kings,bpl00122
field,Dhaka Dynamites,bpl00123
bat,Rangpur Riders,bpl00124
