winner,by.runs,key,by.wickets,method,result,eliminator
Barisal Burners,22.0,bpl00001,,,,
Chittagong Kings,,bpl00002,6.0,,,
Dhaka Gladiators,21.0,bpl00003,,,,
Duronto Rajshahi,16.0,bpl00004,,,,
Chittagong Kings,,bpl00005,8.0,,,
Khulna Royal Bengals,2.0,bpl00006,,,,
Duronto Rajshahi,9.0,bpl00007,,,,
Khulna Royal Bengals,,bpl00008,7.0,,,
Barisal Burners,,bpl00009,9.0,,,
Duronto Rajshahi,,bpl00010,9.0,,,
Barisal Burners,,bpl00011,4.0,,,
Chittagong Kings,13.0,bpl00012,,,,
Sylhet Royals,,bpl00013,9.0,,,
Sylhet Royals,35.0,bpl00014,,,,
Duronto Rajshahi,,bpl00015,8.0,,,
Duronto Rajshahi,,bpl00016,3.0,,,
Dhaka Gladiators,,bpl00017,8.0,,,
Sylhet Royals,33.0,bpl00018,,,,
Dhaka Gladiators,62.0,bpl00019,,,,
Duronto Rajshahi,2.0,bpl00020,,,,
Barisal Burners,,bpl00021,8.0,,,
Sylhet Royals,,bpl00022,4.0,,,
Dhaka Gladiators,13.0,bpl00023,,,,
Rangpur Riders,7.0,bpl00024,,,,
Sylhet Royals,,bpl00025,6.0,,,
Chittagong Kings,21.0,bpl00026,,,,
Khulna Royal Bengals,68.0,bpl00027,,,,
Sylhet Royals,,bpl00028,7.0,,,
Khulna Royal Bengals,9.0,bpl00029,,,,
Duronto Rajshahi,4.0,bpl00030,,,,
Rangpur Riders,33.0,bpl00031,,,,
Sylhet Royals,,bpl00032,5.0,,,
Barisal Burners,6.0,bpl00033,,,,
Dhaka Gladiators,13.0,bpl00034,,,,
Duronto Rajshahi,,bpl00035,4.0,,,
Chittagong Kings,54.0,bpl00036,,,,
Duronto Rajshahi,,bpl00037,7.0,,,
Barisal Burners,,bpl00038,7.0,,,
Dhaka Gladiators,88.0,bpl00039,,,,
Chittagong Kings,89.0,bpl00040,,,,
Sylhet Royals,,bpl00041,6.0,,,
Khulna Royal Bengals,,bpl00042,7.0,,,
Dhaka Gladiators,,bpl00043,8.0,,,
Rangpur Riders,,bpl00044,5.0,,,
Dhaka Gladiators,,bpl00045,6.0,,,
Rangpur Riders,19.0,bpl00046,,,,
Sylhet Royals,61.0,bpl00047,,,,
Barisal Burners,,bpl00048,7.0,,,
Chittagong Kings,33.0,bpl00049,,,,
Sylhet Royals,,bpl00050,1.0,,,
Barisal Burners,26.0,bpl00051,,,,
Dhaka Gladiators,29.0,bpl00052,,,,
Dhaka Gladiators,4.0,bpl00053,,,,
Chittagong Kings,,bpl00054,3.0,,,
Dhaka Gladiators,43.0,bpl00055,,,,
Dhaka Dynamites,,bpl00056,6.0,,,
Barisal Bulls,13.0,bpl00057,,,,
Comilla Victorians,,bpl00058,7.0,,,
