decision,winner,key
field,MI Cape Town,sat00001
bat,Joburg Super Kings,sat00002
field,Sunrisers Eastern Cape,sat00003
bat,Joburg Super Kings,sat00004
field,Durban's Super Giants,sat00005
field,Sunrisers Eastern Cape,sat00006
field,MI Cape Town,sat00007
bat,Durban's Super Giants,sat00008
field,Sunrisers Eastern Cape,sat00009
field,Durban's Super Giants,sat00010
field,Pretoria Capitals,sat00011
field,Sunrisers Eastern Cape,sat00012
field,Pretoria Capitals,sat00013
field,Sunrisers Eastern Cape,sat00014
bat,Durban's Super Giants,sat00015
field,Joburg Super Kings,sat00016
field,Paarl Royals,sat00017
bat,Pretoria Capitals,sat00018
field,Durban's Super Giants,sat00019
field,MI Cape Town,sat00020
bat,Sunrisers Eastern Cape,sat00021
field,Joburg Super Kings,sat00022
field,Durban's Super Giants,sat00023
field,Joburg Super Kings,sat00024
field,Durban's Super Giants,sat00025
field,Pretoria Capitals,sat00026
bat,Joburg Super Kings,sat00027
field,Pretoria Capitals,sat00028
field,MI Cape Town,sat00029
field,Paarl Royals,sat00030
field,Paarl Royals,sat00031
field,Joburg Super Kings,sat00032
field,Sunrisers Eastern Cape,sat00033
field,Durban's Super Giants,sat00034
field,Pretoria Capitals,sat00035
field,Joburg Super Kings,sat00036
bat,Durban's Super Giants,sat00037
field,Pretoria Capitals,sat00038
bat,Durban's Super Giants,sat00039
bat,Sunrisers Eastern Cape,sat00040
bat,Joburg Super Kings,sat00041
bat,Pretoria Capitals,sat00042
field,MI Cape Town,sat00043
bat,Durban's Super Giants,sat00044
bat,Pretoria Capitals,sat00045
field,MI Cape Town,sat00046
field,Sunrisers Eastern Cape,sat00047
field,MI Cape Town,sat00048
field,Paarl Royals,sat00049
field,Sunrisers Eastern Cape,sat00050
bat,Durban's Super Giants,sat00051
bat,Sunrisers Eastern Cape,sat00052
field,Pretoria Capitals,sat00053
bat,Durban's Super Giants,sat00054
field,Joburg Super Kings,sat00055
bat,Durban's Super Giants,sat00056
field,Sunrisers Eastern Cape,sat00057
bat,MI Cape Town,sat00058
bat,Sunrisers Eastern Cape,sat00059
bat,MI Cape Town,sat00060
field,Joburg Super Kings,sat00061
bat,Paarl Royals,sat00062
bat,Sunrisers Eastern Cape,sat00063
field,Joburg Super Kings,sat00064
field,Joburg Super Kings,sat00065
bat,Sunrisers Eastern Cape,sat00066
